name,project_code,description,status,site_address,start_date,end_date
Equipment Yard,10001,,in_progress,,2025-01-06,2030-12-31
Lone Star,22018,,in_progress,,2025-01-06,2030-12-31
Job 24002,24002,,in_progress,,2025-01-06,2030-12-31
Colony Phase 12,23004,,in_progress,,2025-01-06,2030-12-31
NEX,22017,,in_progress,,2025-01-06,2030-12-31
Plano Arterial Renewal-2,24003,,in_progress,,2025-01-06,2030-12-31
Garland,22015,,in_progress,,2025-01-06,2030-12-31
Austin Lane,24007,,in_progress,,2025-01-06,2030-12-31
DART,20011,,in_progress,,2025-01-06,2030-12-31
Richardson,23002,,in_progress,,2025-01-06,2030-12-31
Bell,23010,,in_progress,,2025-01-06,2030-12-31
Little Elm,23009,,in_progress,,2025-01-06,2030-12-31
Job 26002,26002,,in_progress,,2025-01-06,2030-12-31
Job 25011,25011,,in_progress,,2025-01-06,2030-12-31
Job 25001,25001,,in_progress,,2025-01-06,2030-12-31
Job 25015,25015,,in_progress,,2025-01-06,2030-12-31
Job 25008,25008,,in_progress,,2025-01-06,2030-12-31
Job 26007,26007,,in_progress,,2025-01-06,2030-12-31
Job 24015,24015,,in_progress,,2025-01-06,2030-12-31
Job 24014,24014,,in_progress,,2025-01-06,2030-12-31
