code,type,vin,description,plate,make_model,foreman
SUV-001,truck,5N1BT3AA2PC906289,ROGUE,TWV0162,ROGUE,
SUV-2,truck,JTEZU5JR8B5029107,4RUNNER,CX9-P896,4RUNNER,
TRK-003,truck,3C63RRGLXJG305453,RAM 3500,LFL1796,RAM 3500,
TRK-012,truck,5TFRM5F10KX143789,TUNDRA,RYB8946,TUNDRA,
TRK-013,truck,1FD8W3HT4KEE60507,F-350,NCCJ-2905,F-350,
TRK-014,truck,1FTEW1EP7LKE86086,F-150,SBG-7670,F-150,
TRK-015,truck,1FDUF5GT6FEC83914,F-550,1N17485,F-550,
TRK-017,truck,2GCUDDEDXP1122128,Silverado 1500,THN-9189,Silverado 1500,
TRK-018,truck,3C63RRHL0NG188602,RAM-3500,TCR-2073,RAM-3500,
TRK-019,truck,1FDUF5GT6GEA17441,F550,TTT7348,F550,
TRK-020,truck,1FT7W2B63LEC90333,F-250,VHX7593,F-250,
TRK-021,truck,1FTEW1CP0PKE81997,F-150,XLW1035,F-150,
TRK-022,truck,1FTEW1CP6PKE66565,F-150,TNW8872,F-150,
TRK-024,truck,1FTEW1CP8PFD31984,F-150,TTY0037,F-150,
TRK-025,truck,1FTEW1CPXPKF37377,F-150,TTY0036,F-150,
TRK-026,truck,1FTEW1CP4PFD31495,F-150,TTY0035,F-150,
TRK-027,truck,1FT7W2AA8REC08644,F-250,TYN0462,F-250,
TRK-028,truck,1FTEW1CP4PKF88681,F-150,TVZ4180,F-150,
TRK-029,truck,1FTEW1C55PKF74349,F-150,TVZ4179,F-150,
TRK-030,truck,1FTEW1CPXPKG21764,F-150,TVZ3848,F-150,
TRK-031,truck,1GC4YREY3MF271120,2500,SZL-7694,2500,
TRK-032,truck,1FT7W2AA5REC45313,F-250,VGC1264,F-250,
TRK-033,truck,1FTEW1KP6RKD61812,F-150,TWD3946,F-150,
TRK-034,truck,1FTEW1KP6RKD65688,F-150,TWD3850,F-150,
TRK-035,truck,1FTEW1KP6RKD63997,F-150,TWD3850,F-150,
TRK-036,truck,1FTEW1KP6RKD65679,F-150,TWD3774,F-150,
