code,description,make,model,category,serial,quantity,cost,purchased_on,warranty_expires,location,owning_project
,HAMMER DRILL EXTREME BULL DOG (8A),BOSCH,11255VSR,Power Tools,331009023,1,,,,,
,"4- 1/2"" ANGEL GRAINDER",BOSCH,GWS10-450P,Power Tools,329033250,1,,,,,
,"4- 1/2"" ANGEL GRAINDER",BOSCH,GWS10-450P,Power Tools,130007194,1,,,,,
,"14"" QUIKIE SAW",STIHL,TS-420,Power Tools,,1,,,,,
,"ELECTRIC DRILL 1/2""",DEWALL,DW511,Power Tools,DKJM5J0,1,,,,,
,"7- 1/4"" WARM DRIVE CIRCLE SAW",SKILL SAW,,Power Tools,321000552,1,,,,,
,HAMMER DRILL 13A,BOSCH,11264EVS,Power Tools,328000452,1,,,,,
,QUIKIE SAW,STIHL,TS-420,Power Tools,,1,,,,,
,"1/2"" IMPACT WRENCH",BOSCH,GDS18V-740CB14,Power Tools,131000704,1,,,,,
,LEAF BLOWER,STIHL,BG56C,,539161106,1,,,,,
,WALLSCANNER W/CHARGE& BATTERY,BOSCH,D-TECT2000,,325049330,1,,,,,
,Performance 2 tool combo kit,BOSCH,GXL18V-227B25,,I#224006591 D#227000542,1,,,,,
,Plate Compactor,WACKER NEWSON,WP1550AW,,10835754,1,,,,,
,"1/2"" Drill Kit",BOSCH,GSB18V-975CB25,Power Tools,223005412,1,,,,,
,Performance 2 tool combo kit,BOSCH,GXL18V-227B25,,I#41000059 D#224003659,1,,,,,
,QUIKIE SAW,STIHL,TS-420,Power Tools,195116602,1,,,,,
,"7""ANGEL GRAINDER",BOSCH,1974-8,Power Tools,326000573,1,,,,,
,"1/2"" Impact Wrench w/charger",BOSCH,GDS18V-740CB14,Power Tools,227000190,1,,,,,
,"4-1/2"" Angle Grainder",BOSCH,GWS10-450P,Power Tools,332039546,1,,,,,
,GENERATOR,Waker Newson,GP6600,,24579919,1,,,,,
,GENERATOR,Waker Newson,GP6600,,24563435,1,,,,,
,QUIKIE SAW,STIHL,TS-420,Power Tools,,1,,,,,
,QUIKIE SAW,STIHL,TS-420,Power Tools,,1,,,,,
,LEAF BLOWER,STIHL,BG86,,4241-011-175,1,,,,,
,HAMMER DRILL,BOSCH,11264EVS,Power Tools,228001280,1,,,,,
,HAMMER DRILL,BOSCH,11264EVS,Power Tools,228001276,1,,,,,
,GENERATOR,Waker Newson,GP6600,,,1,,,,,
,BACK PACK VIBRATOR,Waker Newson,BV50A-h,,24627123,1,,,,,
,HAMMER DRILL,BOSCH,11264EVS,Power Tools,328001279,1,,,,,
,HAMMER DRILL,BOSCH,11264EVS,Power Tools,28000640,1,,,,,
,Skill Saw,,,Power Tools,330001083,1,,,,,
,QUIKIE SAW,,TS-420,Power Tools,,1,,,,,
,BACK PACK VIBRATOR,,,,24642294,1,,,,,
,BACK PACK VIBRATOR,,GCBYT-208246,,24629536,1,,,,,
,QUIKIE SAW,,,Power Tools,,1,,,,,
,Skill Saw,,,Power Tools,13200481,1,,,,,
,HAMMER DRILL,BOSCH,11264EVS,Power Tools,42200711,1,,,,,
,Grease Gun,Dewalt,DCG6571,,WISUJDL,1,,,,,
,Charger & Battery 4AH,,,,,1,,,,,
,Hammer Breaker,BOSCH,11264EVS,Power Tools,422000711,1,,,,,
,Hammer Breaker,BOSCH,RH540M,Power Tools,424005550,1,,,,,
,PRESICION LASER W/TRIPOT AND SCALE ROD.,SPECTRA,LL100N,,,1,,,,,
,4' SMART LEAVEL,STABILA,,,,1,,,,,
,Performance 2 tool combo kit,BOSCH,GXL18V-227B25,,I#224006494 D#227000484,1,,,,,
,Plate Compacter,WACKER NEWSON,WP1550AW,,11650615,1,,,,,
