name,project_code,description,status,site_address,start_date,end_date
Equipment Yard,10001,,in_progress,,2025-01-06,
Lone Star I-35 East Phase 2,22018,,in_progress,"Dallas, TX",2025-01-06,
Frisco Dallas Pkwy - Punchout,24002,,in_progress,"Frisco, TX",2025-01-06,
Colony Phase 12,23004,,in_progress,,2025-01-06,
Alamo NEX Seg N-2,22017,,in_progress,"San Antonio, TX",2025-01-06,
Plano Arterial Renewal-2,24003,,in_progress,,2025-01-06,
Garland Bottleneck,22015,,in_progress,"Garland, TX",2025-01-06,
Austin Lane,24007,,in_progress,,2025-01-06,
DART,20011,,in_progress,,2025-01-06,
Richardson,23002,,in_progress,,2025-01-06,
Bell,23010,,in_progress,,2025-01-06,
Little Elm,23009,,in_progress,,2025-01-06,
TxDOT Rockwall County,26002,Also known as Rockwall (TXDOT),in_progress,"Rockwall, TX",2025-01-06,
Frisco Lebanon Rd,25011,,in_progress,"Frisco, TX",2025-01-06,
Job 25001,25001,,in_progress,,2025-01-06,
Job 25015,25015,,in_progress,,2025-01-06,
DFW Airport Slopes,25008,,in_progress,"Fort Worth, TX",2025-01-06,
I-35 Cap EX,26007,Also known as Flour,in_progress,"Austin, TX",2025-01-06,
Job 24015,24015,,in_progress,,2025-01-06,
Springtown WTP,24014,,in_progress,,2025-01-06,
