code,type,vin,description,plate,make_model,project,foreman
SUV-001,truck,,ROGUE,TWV0162,ROGUE,Equipment Yard,
SUV-2,truck,,4RUNNER,CX9-P896,4RUNNER,Equipment Yard,
TRK-003,truck,,RAM 3500,LFL1796,RAM 3500,Equipment Yard,
TRK-012,truck,,TUNDRA,RYB8946,TUNDRA,TxDOT Rockwall County,
TRK-013,truck,,F-350,NCCJ-2905,F-350,Equipment Yard,
TRK-014,truck,,F-150,SBG-7670,F-150,Frisco Lebanon Rd,
TRK-015,truck,,F-550,1N17485,F-550,Equipment Yard,
TRK-017,truck,,Silverado 1500,THN-9189,Silverado 1500,Equipment Yard,
TRK-018,truck,,RAM-3500,TCR-2073,RAM-3500,Equipment Yard,
TRK-019,truck,,F550,TTT7348,F550,Alamo NEX Seg N-2,
TRK-020,truck,,F-250,VHX7593,F-250,Frisco Dallas Pkwy - Punchout,
TRK-021,truck,,F-150,XLW1035,F-150,Job 25001,
TRK-022,truck,,F-150,TNW8872,F-150,Equipment Yard,
TRK-024,truck,,F-150,TTY0037,F-150,Equipment Yard,
TRK-025,truck,,F-150,TTY0036,F-150,Equipment Yard,
TRK-026,truck,,F-150,TTY0035,F-150,Equipment Yard,
TRK-027,truck,,F-250,TYN0462,F-250,Job 25015,
TRK-028,truck,,F-150,TVZ4180,F-150,Equipment Yard,
TRK-029,truck,,F-150,TVZ4179,F-150,Alamo NEX Seg N-2,
TRK-030,truck,,F-150,TVZ3848,F-150,TxDOT Rockwall County,
TRK-031,truck,,2500,SZL-7694,2500,Alamo NEX Seg N-2,
TRK-032,truck,,F-250,VGC1264,F-250,Job 25001,
TRK-033,truck,,F-150,TWD3946,F-150,Lone Star I-35 East Phase 2,
TRK-034,truck,,F-150,TWD3850,F-150,Equipment Yard,
TRK-035,truck,,F-150,TWD3850,F-150,Equipment Yard,
TRK-036,truck,,F-150,TWD3774,F-150,Frisco Dallas Pkwy - Punchout,
TRK-037,truck,,F-150,TWD3945,F-150,DFW Airport Slopes,
TRK-038,truck,,F-150,VPL7462,F-150,Frisco Dallas Pkwy - Punchout,
TRK-039,truck,,F-150,VPL7461,F-150,Equipment Yard,
TRK-040,truck,,F-150,VPM2222,F-150,DFW Airport Slopes,
TRK-041,truck,,F-250,VNX8590,F-250,I-35 Cap EX,
TRK-042,truck,,F-250,VJB0953,F-250,Lone Star I-35 East Phase 2,
TRK-043,truck,,F-250,VMT5561,F-250,Job 24015,
TRK-044,truck,,F-250,VSN3520,F-250,Alamo NEX Seg N-2,
TRK-045,truck,,F-150,VPM2223,F-150,Frisco Dallas Pkwy - Punchout,
TRK-046,truck,,F-150,VPM2224,F-150,TxDOT Rockwall County,
TRK-047,truck,,F-250,vsn3618,F-250,Lone Star I-35 East Phase 2,
TRK-048,truck,,F-250,vsn3619,F-250,Lone Star I-35 East Phase 2,
TRK-049,truck,,F-150,WGN6711,F-150,Equipment Yard,
TRK-050,truck,,F-150,WGN6712,F-150,Lone Star I-35 East Phase 2,
TRK-051,truck,,F-150,WGN6718,F-150,Equipment Yard,
TRK-052,truck,,F-250,WGN6713,F-250,Alamo NEX Seg N-2,
TRK-053,truck,,F-250,WDS3074,F-250,Springtown WTP,
TRK-054,truck,,F-250,WGN6717,F-250,Lone Star I-35 East Phase 2,
TRK-055,truck,,F-250,WJS5646,F-250,TxDOT Rockwall County,
TRK-056,truck,,F-250,WDS2705,F-250,Springtown WTP,
TRK-057,truck,,F-650,YDT9949,F-650,Frisco Lebanon Rd,
TRK-058,truck,,F-250,Temproary,F-250,TxDOT Rockwall County,
TRK-10001,truck,,F550,XCY9662,F550,Equipment Yard,
TE-001,trailer,,Enclosed trailer,,Enclosed trailer,Equipment Yard,
TE-002,trailer,,Enclosed trailer,,Enclosed trailer,Lone Star I-35 East Phase 2,
TE-003,trailer,,Enclosed trailer,,Enclosed trailer,Equipment Yard,
TE-004,trailer,,Enclosed trailer,,Enclosed trailer,Equipment Yard,
