name,project_code,description,status,site_address,start_date,end_date
Equipment Yard,10001,,in_progress,,2025-01-06,2030-12-31
DART,20011,,in_progress,,2025-01-06,2030-12-31
Garland Bottleneck,22015,,in_progress,GARLAND,2025-01-06,2030-12-31
Alamo NEX Seg N-2,22017,,in_progress,SAN ANTONIO,2025-01-06,2030-12-31
Lone Star I-35 East Phase 2,22018,,in_progress,DALLAS,2025-01-06,2030-12-31
Richardson,23002,,in_progress,,2025-01-06,2030-12-31
Colony Phase 12,23004,,in_progress,,2025-01-06,2030-12-31
Little Elm,23009,,in_progress,,2025-01-06,2030-12-31
Bell,23010,,in_progress,,2025-01-06,2030-12-31
Frisco Dallas Pkwy - Punchout,24002,,in_progress,FRISCO,2025-01-06,2030-12-31
Plano Arterial Renewal-2,24003,,in_progress,,2025-01-06,2030-12-31
Mesquite Heritage Trail,24005,,in_progress,MESQUITE,2025-01-06,2030-12-31
Austin Lane,24007,,in_progress,,2025-01-06,2030-12-31
Cromwell Flatwork,24010,,in_progress,FORT WORTH,2025-01-06,2030-12-31
Springtown WTP,24014,,in_progress,,2025-01-06,2030-12-31
Job 24015,24015,,in_progress,,2025-01-06,2030-12-31
Richardson Main Street Reconstruction,24016,,in_progress,,2025-01-06,2030-12-31
Job 25001,25001,,in_progress,,2025-01-06,2030-12-31
Beck Branch,25002,,in_progress,,2025-01-06,2030-12-31
Cooper Lake,25004,,in_progress,,2025-01-06,2030-12-31
Dallas Intergovernmental Cockrell Hill Rd,25006,Dallas Intergovernmental,in_progress,DALLAS,2025-01-06,2030-12-31
DFW Airport Slopes,25008,,in_progress,FORT WORTH,2025-01-06,2030-12-31
Flower Mound WWTP Effluent Filter rehab,25009,,in_progress,,2025-01-06,2030-12-31
Allen Wilson Creek RWWTP,25010,,in_progress,,2025-01-06,2030-12-31
Frisco Lebanon Rd,25011,,in_progress,FRISCO,2025-01-06,2030-12-31
Little Elm Renewal 3,25012,,in_progress,LITTLE ELM,2025-01-06,2030-12-31
Frisco Teel Parkway (NTP to chase),25013,Frisco Teel Parkway,in_progress,FRISCO,2025-01-06,2030-12-31
Dallas Pearl St (NTP: miguel to chase),25014,,in_progress,,2025-01-06,2030-12-31
Job 25015,25015,,in_progress,,2025-01-06,2030-12-31
Buffalo Creek LS,25016,,in_progress,,2025-01-06,2030-12-31
DFW Siphon,26001,,in_progress,,2025-01-06,2030-12-31
TxDOT Rockwall County,26002,Rockwall (TXDOT),in_progress,ROCKWALL,2025-01-06,2030-12-31
TRA Odor Control,26003,,in_progress,,2025-01-06,2030-12-31
Tom Harpool,26004,,in_progress,,2025-01-06,2030-12-31
DFW Cooling Tower,26005,,in_progress,,2025-01-06,2030-12-31
I-35 Cap EX,26007,Flour,in_progress,AUSTIN,2025-01-06,2030-12-31
TxDOT Webb County Laredo,26008,I-35 - TXDOT,in_progress,LAREDO,2025-01-06,2030-12-31
TRA Bio Gas,26009,,in_progress,,2025-01-06,2030-12-31
Plano Alley Final Renewal 2026,26011,,in_progress,PLANO,2025-01-06,2030-12-31
